Redump Name,Domestic Title,Overseas Title,Product No.,Build Date,Hardware,Company,Disc Type,Version,I/O Devices,Region,Size
Midnight Raiders (USA),MIDNIGHT RAIDERS,MIDNIGHT RAIDERS,MK-4439,1994.DEC,SEGA GENESIS,(C)SEGA,GM,0,J,U,499454256
Might and Magic III - Isles of Terra (Japan),MIGHT AND MAGIC3,MIGHT AND MAGIC3,T-68024,1993.OCT,SEGA MEGA DRIVE,(C)T-68,GM,0,JM,J,25625040
Mighty Mighty Missile (USA) (Unl),MIGHTY_MIGHTY_MISSILE,MIGHTY_MIGHTY_MISSILE,MK-4407,2005.SEP,SEGA GENESIS,(C)EVMD,GM,0,J,U,25244016
Mighty Morphin Power Rangers (Europe),MIGHTY MORPHIN POWER RANGERS,MIGHTY MORPHIN POWER RANGERS,MK-4442,1994.OCT,SEGA GENESIS,(C)SEGA,GM,0,J,E,465505488
Mighty Morphin Power Rangers (USA),MIGHTY MORPHIN POWER RANGERS,MIGHTY MORPHIN POWER RANGERS,MK-4442,1994.OCT,SEGA GENESIS,(C)SEGA,GM,0,J,U,465155040
Mortal Kombat (Europe),MORTAL KOMBAT,MORTAL KOMBAT,T-81025,1994.MAY,SEGA GENESIS,(C)T-81,GM,0,J6L,E,37516752
Mortal Kombat (USA),MORTAL KOMBAT,MORTAL KOMBAT,T-81025,1994.MAY,SEGA GENESIS,(C)T-81,GM,0,J6L,U,37516752
Mortal Kombat Kanzenban (Japan),MORTAL KOMBAT,MORTAL KOMBAT,T-81025,1994.MAY,SEGA GENESIS,(C)T-81,GM,0,J6L,J,37516752
My Paint (USA),MYPAINT SEGA CD,MYPAINT MEGA CD,T-109015,1994.MH,SEGA MEGA DRIVE,(C)T-109,AI,0,"J,M",U,44685648
NBA Jam (Europe),NBAJAM          RAM,NBAJAM          RAM,T-81035,1994.SEP,SEGA MEGA DRIVE,(C)T-81,GM,0,J4,E,51240672
NBA Jam (Japan),NBAJAM          RAM,NBAJAM          RAM,T-81035,1994.SEP,SEGA MEGA DRIVE,(C)T-81,GM,0,J4,J,51292416
NBA Jam (USA),NBAJAM          RAM,NBAJAM          RAM,T-81035,1994.SEP,SEGA GENESIS,(C)T-81,GM,0,J,U,51240672
NFL Football Trivia Challenge (USA),NFL TRIVIA CHALLENGE,NFL TRIVIA CHALLENGE,T-135015,1994.NOV,SEGA GENESIS,(C)T-13,GM,0,J,U,583655856
NFL's Greatest - San Francisco vs. Dallas 1978-1993 (USA),N.F.L.'S GREATEST SAN FRANCISC,N.F.L.'S GREATEST SAN FRANCISC,MK-4202,1993.DEC,SEGA GENESIS,(C)SEGA,GM,0,J,U,627755856
NHL '94 (USA),NHL HOCKEY 94,NHL HOCKEY 94,T-50015,1993.NOV,SEGA GENESIS,(C)T-50,GM,0,J,U,209363280
NHL Hockey '94 (Europe),NHL HOCKEY 94,NHL HOCKEY 94,T-50015,1993.NOV,SEGA MEGADRIVE,(C)T-50,GM,0,J,E,209363280
"Night Striker (Japan, Korea)",NIGHT STRIKER,NIGHT STRIKER,T-11014,1993.MAY,SEGA MEGA DRIVE,(C)T-11,GM,0,JAC,J,15605520
Night Trap (Europe) (Disc 1),(unknown),NIGHT TRAP,MK-4903,1993.APR,SEGA MEGA DRIVE,(C)SEGA,GM,0,J,E,615939408
Night Trap (Europe) (Disc 1) (Mega-CD 32X),NIGHT TRAP,DISK1,T-16202F,1995.JAN,SEGA 32X,(C)T-162,GM,50,J,E,617058960
Night Trap (Europe) (Disc 2),(unknown),NIGHT TRAP,MK-4903,1993.APR,SEGA MEGA DRIVE,(C)SEGA,GM,0,J,E,514650528
Night Trap (Europe) (Disc 2) (Mega-CD 32X),NIGHT TRAP,DISK2,T-16202F,1995.JAN,SEGA 32X,(C)T-162,GM,50,J,E,515276160
Night Trap (France) (Disc 1),NIGHT TRAP,DISK1,MK-4903,1994.APR,SEGA MEGA DRIVE,(C)SEGA,GM,0,J,E,615753600
Night Trap (France) (Disc 2),NIGHT TRAP,DISK2,MK-4903,1994.APR,SEGA MEGA DRIVE,(C)SEGA,GM,0,J,E,514464720
Night Trap (Japan) (Disc 1),NIGHT TRAP,DISK1,G-6025,1993.OCT,SEGA MEGA DRIVE,(C)SEGA,GM,0,J,J,615875904
Night Trap (Japan) (Disc 2),NIGHT TRAP,DISK2,G-6025,1993.OCT,SEGA MEGA DRIVE,(C)SEGA,GM,0,J,J,514587024
Night Trap (USA) (Disc 1) (Rerelease),NIGHT TRAP,DISK1,T-162105,1994.DEC,SEGA GENESIS,(C)T-162,GM,0,J,U,617058960
Night Trap (USA) (Disc 1) (Rerelease) (Alt),NIGHT TRAP,DISK1,T-162105,1994.DEC,SEGA GENESIS,(C)T-162,GM,0,J,U,617058960
Night Trap (USA) (Disc 1) (Sega CD 32X) (RE-1),NIGHT TRAP,DISK1,T-16202F,1994.DEC,SEGA 32X,(C)T-162,GM,0,J,U,617061312
Night Trap (USA) (Disc 2) (Rerelease),NIGHT TRAP,DISK2,T-162105,1994.DEC,SEGA GENESIS,(C)T-162,GM,0,J,U,515276160
Night Trap (USA) (Disc 2) (Rerelease) (Alt),NIGHT TRAP,DISK2,T-162105,1994.DEC,SEGA GENESIS,(C)T-162,GM,0,J,U,515276160
Night Trap (USA) (Disc 2) (Sega CD 32X) (RE-1),NIGHT TRAP,DISK2,T-16202F,1994.DEC,SEGA 32X,(C)T-162,GM,0,J,U,515278512
